FRASE,LIBRO,AUTOR
"Hitler se fue al cielo, cuando comprendas esto, comprendera a Dios.",Conversaciones con DIOS,
"Para la mayoria de la gente, el amor es una respuesta de una neceidad incubierta",Conversaciones con DIOS,
"Si quieres garantias en la vida, entonces no quieres la vida. Quieres ensayos para un guión que ya está escrito.",Conversaciones con DIOS,
"Si alcanzas el siguiente escalon, es porque quieres, no porque tienes que hacerlo. No tienes que hacer nada. Disfruta la vida en cada nivel",Conversaciones con DIOS,
"El verdadero trabajo interno debe hacerse en soledad, sin retribución ni aprobación, sin que nadie lo note.",Conversaciones con DIOS,
La verguenza es la respuesta de una persona que todavia tiene una inversión de efo en como otras la ven.,Conversaciones con DIOS,
"El proceso creador se resume a: pensamiento, palabra y acción",Conversaciones con DIOS,
La forma más rapida de cambiar un pensamiento credor es revertur el proceso del pensamiento palabra acto. Actua de acuerdo a la nueva idea que tengas,Conversaciones con DIOS,
Eres lo que piensas que eres,Conversaciones con DIOS,
"A tu alma no le importa que haces para vivir, tu alma se preocupa solo por lo que eres mientras estás haciendo lo que sea que hagas. Lo que busca tu alma es un estado de existencia, no de realización",Conversaciones con DIOS,
"Si algo que desees expetimentar en tu vida, no lo desees, eligelo",Conversaciones con DIOS,
"El verdadero orden de las cosas, uno no hace algo para ser feliz, uno es feliz y luego hace algo",Conversaciones con DIOS,
"No quieres saber la verdad,quieres saber la verdd que tu comprendes, esa es la barrera más grande a la iluminación",Conversaciones con DIOS,
No puedes ser lo que no sabes que eres,Conversaciones con DIOS,
"Sus actitudes frente al sexo, es un microcosmos de sus actitudes frente a la vida",Conversaciones con DIOS,
"Llamame entonces, cuando y donde te separes de la paz que soy yo, ahí estare, con la verdad, con la luz y con el amor.",Conversaciones con DIOS,
Descubrir la verdad requiere abandonar la parte ilusoria de tu mente que aun proteges con recelo,Vivir por Amor,Jorge Carrasco
"La vida usara todos los recursos que tiene a su alcance para moldera tu experiencias de tal modo que adopte una forma especial y unica, en la que la lección pueda ser integrada y comprendida segun tu punto de referencia interior y tal y  como comprendes al mundo",Vivir por Amor,
"No hemos venido a este mundo a cambiarlo, hemos venido a aprender a amarlo, solo entonces el mundo cambiará antes nuestros ojos",Vivir por Amor,
"El miedo no te mantiene con vida, solo te mantiene respirando",Vivir por Amor,
"El amor no busca cambiar nada de lo que te sucede, tan solo quiere que aprendas a cambiar la manera en la que ves lo que te sucede y por lo tanto, en la manera en la que te ves a ti mismo ante lo que te sucede",Vivir por Amor,
En la elección de percepción radica nuestro verdadero libre albedrio y por lo tanto nuestro poder,Vivir por Amor,
El problema del conocimiento no es el desconocimiento sino la absurda creencia que tenemos de que ya lo sabemos todo.,Vivir por Amor,
Todo lo que te sucede en tu vida primero debio originarse en tu mente,Vivir por Amor,
"Cuanto más compartas un pensamiento o una idea, más reforzarás en tu mente  el sistema de pensamiento del cual procede",Vivir por Amor,
"A través de tus relaciones reafirmas tus creencias, tus realciones son el recurso que tienes para elevarte al cierlo o sumerjirte en el infierno",Vivir por Amor,
"Existe una confusión respecto al vddero significado de dar a los demás y darte a ti mismo. Haciendote creer que cuando das a lo demás lo haces por amor, cuando es un gesto de egoismo y manipulación emocional. Y cuando te atiendes a ti, te dices que eres un egoista en lugar de comprender qu estas haciendo el mayor gesto de amor porpio por ti y para los que amas.",Vivir por Amor,
"Jamas has tardado 3-5-6 años en cambiar, el cambio se produce en un momento tan minusculo que el tiempo no puede contener este detalle. Los 3-5-6 años, son el tiempo que tomaste en decidir cambiar",Vivir por Amor,
